ID,Phase,Scene,Item,Type,Pool / Source,Owner,Priority,Prompt / Spec,Interactivity & scripts,Depends on,Status,Notes
T011,1-Previz,S1,Hangar pre-viz,image,Mint,World Builder,P0,"Wide interior photo of a military maintenance hangar at golden hour, F-16 with open engine panel silhouetted against huge open hangar doors, Dutch polder landscape with canal and one windmill outside, god rays and dust, Chinook helicopter in shadow behind, concrete floor, warm gold and concrete-grey palette, photoreal, eye-level shot.",,Phase 0 sign-off,REVIEW,"Aircraft-fidelity risk; validate sun direction, windmill, floor openness. 2 iterations max, then commit to world gen."
T012,1-Previz,S2,Perception Lab pre-viz,image,Mint,World Builder,P0,"Cozy university research lab interior, golden venetian-blind light, two workbenches: left one with a small partition screen and chair, right one with monitor and PC, corkboard and bookshelf with small trophies, birch and white and navy palette, warm academic atmosphere, photoreal, eye-level.",,Phase 0 sign-off,REVIEW,"Low risk, sanity check. 2 iterations max, then commit to world gen."
T013,1-Previz,S3,Holo Stage pre-viz,image,Mint,World Builder,P0,"Dark presentation studio, circular low stage under a volumetric cyan light cone with haze, slim podium on stage, matte black floor with soft reflection, warm-lit empty museum shelf along the back wall, charcoal and cyan palette, moody, photoreal, eye-level.",,Phase 0 sign-off,REVIEW,"Low risk, sanity check. 2 iterations max, then commit to world gen."
T014,2-World,S1,Hangar on the Polder — world,world (.spz + collider),Marble,World Builder,P0,"Interior of a Royal Netherlands Air Force maintenance hangar at golden hour, camera at standing eye height in the middle of the smooth concrete floor. Enormous hangar doors on one side are fully open to a flat Dutch polder landscape: green fields, a narrow canal, a bike path, and one traditional windmill in the middle distance under a warm late-afternoon sky. Low sun pours through the doorway in long golden god rays with visible dust motes; interior fill light is cool and industrial from high halide fixtures. A grey F-16 fighter jet stands near the open doors with an engine access panel open and a yellow maintenance stand beside it; a tandem-rotor Chinook helicopter sits deeper in the hangar in soft shadow. Red rolling tool chests, a workbench with hand tools, coiled air hoses, safety-yellow floor markings, a small break table with two chairs near a side wall. Palette: concrete grey, NATO green-grey aircraft, safety yellow accents, warm gold sunlight. The concrete floor is clean, flat, and walkable throughout, with a clear open area at least eight meters wide at the center. Atmosphere: thin dust haze, quiet end-of-day stillness. No people, no text or signage with readable writing, no clutter blocking the central floor, no low ceilings, not night-time, not rain.",,S1 pre-viz pass,REVIEW,"Generation order #1. FIRST Marble run = pipeline shakedown (orientation flip, collider walk test). If F-16 mangled, v2: fitted tarp over jet."
T015,2-World,S4,Second Studio Construct — world,world (.spz + collider),Mint (Path A) / Marble (Path B),World Builder,P0,"A vast stylized virtual reality workspace floating in a deep teal void, camera at standing eye height on an infinite glowing white wireframe grid floor. The horizon fades into soft cyan-to-teal gradient light, with faint aurora ribbons high above. Scattered around at chest height: abstract half-finished 3D sculptures made of glowing translucent surfaces and bright spline curves of light, frozen mid-creation. Soft cyan rim lighting on every object; gentle magenta accents on a few floating geometric primitives. No walls, no ceiling, no furniture. Palette: deep teal void, white wireframe lines, cyan glow, sparse magenta accents. The grid floor is perfectly flat and walkable in all directions for at least ten meters. Atmosphere: weightless, silent, dreamlike, clean. No photorealistic objects, no textures resembling wood or stone or concrete, no people, no text, no sky or clouds or sun, not a landscape, not outer space with stars.",,S4 pre-viz pass,REVIEW,Generation order #2. Run parallel to S1 (different pool). Mint worlds export .spz + collider (confirmed).
T016,2-World,S5,Lightworks — world,world (.spz + collider),Marble,World Builder,P0,"Interior of a dark modern data center aisle, camera at standing eye height in the center of a wide central walkway. Two long rows of tall black server racks with dense green and occasional amber LED points, cool white-blue overhead strip lighting, visible thin haze catching the light. At the far end of the walkway, one large clean matte white wall section, empty and evenly lit dimly, like a projection screen. Midway along one side, a single rack stands under a focused warm spotlight with a work area in front of it and space for a small cart. Near the entrance, a small recessed alcove with warm amber shelf lighting, contrasting with the cold room. Polished dark concrete floor, completely flat and walkable, central walkway at least four meters wide and fifteen meters long. Palette: black racks, emerald green LEDs, cold white-blue light, one warm amber alcove. Atmosphere: deep server hum implied, cathedral-like, slightly hazy. No people, no readable text or logos, no cable mess on the floor, no ceiling clutter, not a hallway with doors, not an office.",,S5 pre-viz pass,REVIEW,"Generation order #3. Dark scenes are splat-risky; if blacks muddy, v2 raises ambient to dim blue-grey, darken in renderer. White end-wall + warm alcove are load-bearing."
T017,2-World,S2,Perception Lab — world,world (.spz + collider),Marble,World Builder,P0,"Interior of a cozy university human-factors research lab, camera at standing eye height at the room's center. Late-afternoon sun enters through venetian blinds on one wall, casting warm gold stripes across the floor; overall interior light is neutral and soft. Two workbench stations: on the left, a wooden desk with a low vertical partition screen standing on the desktop and a chair pulled up to it; on the right, a desk with a large computer monitor, a keyboard, and a desktop PC tower beneath. White walls with a corkboard of pinned notes and diagrams, a tall bookshelf with journals and a few small trophies, a whiteboard with faded sketches, a potted plant, a small side table with a coffee machine. Palette: birch wood, white walls, navy blue chair fabric, warm gold window light. Wooden floor, completely clear and walkable in the center, at least six meters of open space between the benches. Atmosphere: quiet, studious, end-of-day calm, faint monitor glow on the right bench. No people, no readable text, no clutter on the floor, no fluorescent glare, not a hospital, not a classroom with rows of desks.",,S2 pre-viz pass,REVIEW,"Generation order #4. Two-bench layout is load-bearing; if merged, v2: 'on opposite walls'. Baked monitors get replaced by live props."
T018,2-World,S3,Holo Stage — world,world (.spz + collider),Marble,World Builder,P0,"Interior of a sleek dark presentation studio, camera at standing eye height facing a low circular stage platform at the room's center. Matte charcoal walls and a matte black floor with a subtle reflective sheen. A single volumetric cone of soft cyan-blue light falls on the stage from a high rig; thin haze makes the light beam visible. On the stage, a slim dark podium. Around the room's edge, low warm accent lighting along the base of the walls; one long wall carries an empty display shelf unit with warm spot lighting, museum-style. Palette: charcoal, matte black, cyan-blue key light, small warm amber accents. The floor is flat, open, and walkable everywhere, with the stage platform only ankle height. Atmosphere: quiet anticipation, a theater before the show. No people, no chairs or audience seating, no readable text, no bright ceiling lights, not an office, not a cinema with rows of seats.",,S3 pre-viz pass,REVIEW,Generation order #5. Lowest risk. Keep the shelf EMPTY in the splat — Tripo headsets populate it.
T019,3-Prop,S1,Windmill sails (animated overlay),prop,Tripo,World Builder,P1,"traditional Dutch windmill with four lattice sails, low poly, game ready",Engineer spins sails via simple rotation; placed outside walkable bounds aligned to baked windmill.,World gen S1,REVIEW,
T020,3-Prop,S1,Hybrid building-kit model (childhood),prop,Tripo,World Builder,P1,"small toy model aircraft built from mixed colorful plastic building bricks and metal construction-set girders, charmingly mismatched, game ready",Gaze placard (About-page origin story). Break table.,World gen S1,REVIEW,Easter egg
T021,3-Prop,S1,Inspection work lamp,prop,Tripo,World Builder,P1,"industrial clamp work lamp on a tripod stand, metal cage around bulb, game ready",HAND-WAVE cycles light color; hums within 1.5m; click fallback.,World gen S1,REVIEW,Jeff's verbatim gesture ask
T022,3-Prop,S1,Wooden clogs (klompen),prop,Tripo,World Builder,P2,"pair of traditional Dutch wooden clogs, worn yellow paint, game ready",Gaze placard only.,World gen S1,REVIEW,"Easter egg, under workbench"
T023,3-Prop,S1,"Cat: Pepper, asleep on a crate",prop,Tripo (image-conditioned),World Builder,P2,"sleeping gray tabby cat curled up in a tight ball, silver-gray coat with dark charcoal stripes, short fur, game ready",Static + placard.,World gen S1,REVIEW,Image: planning/reference/cats/pepper-gray-tabby-sleeping.jpg (exact pose!); pepper-gray-tabby-alert.jpg for markings
T024,3-Prop,S1,Stroopwafel + Delft-blue thermos,prop,Mint,World Builder,P2,"stroopwafel resting on top of a delft blue ceramic thermos cup, game ready",Placard.,World gen S1,REVIEW,"Easter egg, break table"
T025,3-Prop,S1,RNLAF roundel poster,prop,custom-from-Jeff / Mint image,World Builder,P2,"Fallback Mint prompt: Royal Netherlands Air Force orange roundel insignia on weathered metal plate, flat texture",Flat image prop on wall.,World gen S1,REVIEW,
T026,3-Prop,S2,Rubber hand,prop,Tripo,World Builder,P0,"realistic prosthetic rubber right hand, pale silicone, resting flat palm-down, game ready",Hero interaction target (stroke zone + hammer tap).,World gen S2,REVIEW,Hero prop
T027,3-Prop,S2,Paintbrush (grabbable),prop,Tripo,World Builder,P0,"soft wide artist paintbrush, wooden handle, game ready",Pickup; stroke detection over rubber hand; desktop click auto-stroke.,World gen S2,REVIEW,Hero prop
T028,3-Prop,S2,Toy reflex hammer (grabbable),prop,Tripo,World Builder,P1,"small rubber reflex hammer, orange head, game ready",Pickup; tap triggers Proxie flinch+yelp (APPROVED 2026-07-19).,World gen S2,REVIEW,
T029,3-Prop,S2,Black biosensor data glove,prop,Tripo (image-conditioned),World Builder,P0,"black fabric data glove with thin sensor strips along each finger and small circuit board on the back of the hand, wires to a connector, game ready",Pickup arms mini-game forward control (grip squeeze = flex).,World gen S2,REVIEW,USE JEFF'S REAL GLOVE PHOTOS. #1 in Tripo queue
T030,3-Prop,S2,Tobii eye-tracker bar,prop,Tripo,World Builder,P1,"slim black eye tracker sensor bar with two small dark lenses, mounted below a monitor on a small stand, game ready",Twin red IR dots glow while gaze control live.,World gen S2,REVIEW,
T031,3-Prop,S2,RISE award trophy,prop,Tripo,World Builder,P2,"crystal glass research award trophy on a small wooden base, engraved rectangle, game ready",Gaze-dwell sun-glint + chime.,World gen S2,REVIEW,Jeff's explicit Easter-egg ask
T032,3-Prop,S2,Hue-style smart lamp,prop,Tripo,World Builder,P1,"modern smart table lamp with soft glowing sphere shade, minimalist, game ready",HAND-WAVE cycles gold->tulip orange->Philips blue; click fallback.,World gen S2,REVIEW,Eindhoven/Philips joke in placard
T033,3-Prop,S2,"Cat: Poppy, watching the island game",prop,Tripo (image-conditioned),World Builder,P2,"cat sitting upright on a desk looking at a screen, marbled tabby with soft orange gray and white patches, white chest and front paws, short fur, game ready",Static + placard.,World gen S2,REVIEW,Image: planning/reference/cats/poppy-marbled-tabby-sitting.jpg (exact pose)
T034,3-Prop,S2,Framed Boston Globe article,prop,custom-from-Jeff,World Builder,P2,Site asset: 'Eye-tracking video game device subs for mouse' (press page),Flat image prop.,World gen S2,REVIEW,
T035,3-Prop,S2,Data-glove schematic poster,prop,custom-from-Jeff,World Builder,P2,Site asset: glove schematic from PhD page,Flat image prop on corkboard.,World gen S2,REVIEW,
T036,3-Prop,S3,HoloLens 2 (podium),prop,Tripo (image-conditioned),World Builder,P0,"Microsoft HoloLens 2 augmented reality headset resting on a stand, dark grey visor band, game ready",Gaze-dwell 1s triggers room performance; breathing glint affordance.,World gen S3,REVIEW,Hero prop
T037,3-Prop,S3,HTC Vive (THE DOOR),prop,Tripo (image-conditioned),World Builder,P0,"HTC Vive virtual reality headset with dimpled sensor face and head strap, on a display stand, game ready",Pickup/click -> fade -> teleport S4 (wearable-teleport role).,World gen S3,REVIEW,Jeff's verbatim ask. #2 in Tripo queue
T038,3-Prop,S3,Meta Quest 3,prop,Tripo,World Builder,P2,"white Meta Quest 3 virtual reality headset on a display stand, game ready",Gently rocks when gazed at; placard.,World gen S3,REVIEW,
T039,3-Prop,S3,Mars rover hologram,prop,Tripo,World Builder,P1,"Mars rover with six wheels and camera mast, stylized, game ready",Additive cyan hologram material; orbits stage during performance.,World gen S3,REVIEW,
T040,3-Prop,S3,Malta representation-spectrum exhibit,prop,custom-from-Jeff (+Tripo stretch),World Builder,P1,Jeff's spectrum diagram as floating image prop; stretch: translucent stylized human figures as hologram statues,Featured 'slide'; placard covers Project Malta NDA-safely.,World gen S3,REVIEW,Windmill silhouette as smallest figure = Easter egg
T041,3-Prop,S3,Oculus Launch Pad plaque,prop,Mint image,World Builder,P2,"award plaque, dark glass with subtle rocket motif, flat texture",Framed image prop by shelf.,World gen S3,REVIEW,
T042,3-Prop,S3,"Holo-cat: Pumpkin, wireframe patrol",prop,Tripo,World Builder,P2,"low poly chunky orange tabby cat walking, rounded belly, game ready","Additive cyan wireframe material, slow patrol loop across stage.",World gen S3,REVIEW,Wireframe hides color; keep Pumpkin's generous silhouette. Ref: planning/reference/cats/pumpkin-orange-tabby.jpg
T043,3-Prop,S3,Prez sample slides/videos,prop,custom-from-Jeff,World Builder,P1,"Site assets: CarCityLaser, MarsRover, DataVisualization, HandRaise images; Prez trailer video",Hologram panels; slide-swipe hand-wave cycles them.,World gen S3,REVIEW,Zero token cost
T044,3-Prop,S4,Translucent avatar A (offering tool),prop,Tripo,World Builder,P0,"stylized translucent human figure standing with one arm extended forward palm up offering something, smooth featureless surface, game ready",Fresnel-glow material; gaze-wake head-turn + nod.,World gen S4,REVIEW,Hero prop
T045,3-Prop,S4,Translucent avatar B (receiving),prop,Tripo,World Builder,P1,"stylized translucent human figure reaching out to receive an object, smooth featureless surface, game ready",Same treatment.,World gen S4,REVIEW,
T046,3-Prop,S4,Sculpting tool (grabbable hero),prop,Tripo,World Builder,P0,"futuristic hand-held 3D sculpting tool, slim wand with glowing tip and small ring guard, game ready",Pickup from avatar's palm -> draw glowing spline ribbons (engineer system).,World gen S4,REVIEW,Hero prop
T047,3-Prop,S4,Ring tool palette,prop,Tripo,World Builder,P1,"floating ring-shaped user interface palette with segmented glowing buttons, sci-fi minimal, game ready",Hand-wave spins; detents change ribbon color/thickness; click segments fallback.,World gen S4,REVIEW,
T048,3-Prop,S4,Delft-blue voxel tulip,prop,Tripo,World Builder,P2,"stylized tulip flower built from small cubes, delft blue and white ceramic pattern, game ready",Floating finished sculpture + placard.,World gen S4,REVIEW,Easter egg
T049,3-Prop,S4,Floating '11312' code panel,prop,custom (engineer),World Builder,P2,Glowing digits mesh/texture — no generation needed,Placard explains tool-path notation deep cut.,World gen S4,REVIEW,Easter egg
T050,3-Prop,S4,UI Shield panel,prop,custom-from-Jeff,World Builder,P2,Site render (ToolUIrender.jpg) as floating image prop,Placard.,World gen S4,REVIEW,
T051,3-Prop,S5,Server sled (interactive),prop,Tripo,World Builder,P0,"open server chassis sled with visible motherboard, RAM slots, fans and one removable component bay, game ready",Click slides out; projection-mapped guidance overlay; repair sequence.,World gen S5,REVIEW,Hero prop
T052,3-Prop,S5,Faulty module (grabbable),prop,Tripo,World Builder,P0,"computer memory module with a scorched dark mark, game ready",Pulsing red emissive; pickup -> place on cart foam.,World gen S5,REVIEW,
T053,3-Prop,S5,Replacement module (grabbable),prop,Tripo,World Builder,P0,"clean new computer memory module, green circuit board, game ready",Socket glows green on approach; click-in -> LED ripple down aisle.,World gen S5,REVIEW,
T054,3-Prop,S5,Parts cart,prop,Tripo,World Builder,P1,"small metal service cart with foam-lined top tray, game ready",Drop target.,World gen S5,REVIEW,
T055,3-Prop,S5,Gaming projector on tripod (x4 instanced),prop,Tripo,World Builder,P0,"compact gaming projector on a tripod stand with glowing lens, game ready",Chunky toggle each: click or hand-wave through beam flips grid on/off.,World gen S5,REVIEW,Hero station
T056,3-Prop,S5,Baked bit-plane mask texture (reveal image),prop,custom bake script (scripts/bake-projector-image.mjs),World Builder,P0,"Source: Jeff's Even Realities G2/R1 review portrait (Louvre pyramid), cropped to remove logo/text/product inset. Bake: downsample to 32x24 cells, quantize to 5 luminance levels, randomly assign which N-of-4 projector channels are on per cell, pack into one RGBA8 PNG (R/G/B/A = projector 0-3 bit). See TECH_SPEC.md §F.",Shader sums the 4 channels via uEnabled dot product (TECH_SPEC F); click on the resolved screen opens youtu.be/sEDTmvGg-QY.,World gen S5,REVIEW,"AWAITING source image file (Jeff shared inline, not yet saved to a path I can bake from)"
T057,3-Prop,S5,Even Realities G1 glasses,prop,Tripo (image-conditioned),World Builder,P0,"minimalist smart glasses with thin round frames, subtle temple modules, matte finish, game ready",Pickup -> green monochrome SIGGRAPH-guide HUD overlay; toggle off.,World gen S5,REVIEW,Jeff's verbatim ask. #3 in Tripo queue
T058,3-Prop,S5,Retroreflective-marker mannequin hand,prop,Tripo,World Builder,P2,"mannequin hand on a stand with small reflective tape dots on fingertips, game ready",Placard quotes Jeff verbatim.,World gen S5,REVIEW,Easter egg
T059,3-Prop,S5,DGX Spark rack slice,prop,Mint image,World Builder,P2,"small gold-bronze compact supercomputer in a server rack slot, flat texture",Image prop on rack; placard: Proxie lives here.,World gen S5,REVIEW,Easter egg
T060,3-Prop,S5,Cat #3 shadow silhouette,prop,Mint image + custom rig,World Builder,P2,"walking cat silhouette, side view, flat black on white, texture",Animated cutout occluder crossing a projector beam.,World gen S5,REVIEW,Easter egg; the cat you never quite see
T061,3-Prop,ALL,JB Proxie rigged avatar,prop,Mint (animation sets) / Tripo auto-rig,World Builder,P0,"Animation-ready stylized figure matching JB Proxie's 2D avatar art (hello/thinking/idle states on jeffxr.com/chat); clips: idle, walk, talk (+ twitch, flinch, nod for S2/S4 beats)",CompanionSystem drives AnimationMixer; billboard sprite fallback ships regardless.,,REVIEW,Parallel track; anim states gate rubber-hand hero
T062,4-Audio,S1,Ambient loop,audio,Mint,World Builder,P1,"large empty aircraft hangar room tone, low wind through open doors, distant birdsong from outside, occasional soft metallic tick of cooling metal, no music, seamless loop","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T063,4-Audio,S1,SFX: Chinook whomp + lamp click,audio,Mint,World Builder,P1,"heavy helicopter rotor single slow whomp with deep sub thump and dusty air movement, one-shot | soft industrial lamp click with faint electrical hum rising, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T064,4-Audio,S2,Ambient loop,audio,Mint,World Builder,P1,"quiet university lab room tone, soft computer fan hum, faint clock tick, distant muffled hallway sounds, occasional page turn, no music, seamless loop","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T065,4-Audio,S2,SFX: brush strokes + yelp + game jingle,audio,Mint,World Builder,P1,"soft bristle brush strokes on skin, slow rhythmic, short loop | sudden startled gasp yelp, male, comedic not painful, one-shot | bright tropical game jingle, marimba, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T066,4-Audio,S3,Ambient loop,audio,Mint,World Builder,P1,"dark theater room tone with a soft airy synth pad, very quiet electrical hum, spacious reverb, calm anticipation, no melody, seamless loop","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T067,4-Audio,S3,SFX: hologram bloom + Vive don,audio,Mint,World Builder,P1,"holographic interface bloom, glassy shimmer rising swell, one-shot | virtual reality headset powering on, soft fabric rustle then a deep digital whoosh into silence, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T068,4-Audio,S4,Ambient loop,audio,Mint,World Builder,P1,"ethereal weightless synth pad, soft slow shimmering chimes, deep quiet space, dreamlike, no rhythm, seamless loop","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T069,4-Audio,S4,SFX: ribbon draw + hand-off chime,audio,Mint,World Builder,P1,"smooth continuous glowing energy ribbon hum, pitch gently following movement, short loop | crystalline pickup chime with soft harmonic tail, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T070,4-Audio,S5,Ambient loop,audio,Mint,World Builder,P1,"dense data center server hum, layered fan whir, deep electrical drone, cold cavernous room tone, no music, seamless loop","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T071,4-Audio,S5,SFX: sled + module + sum chord + glasses chirp,audio,Mint,World Builder,P1,"metal server sled sliding out with a firm click clack, one-shot | small component click into socket with confirming double beep, one-shot | four-note rising synth chord locking into a warm resolved drone, one-shot | soft UI chirp, retro green-phosphor beep, gentle, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T072,4-Audio,ALL,Portal whoosh (global),audio,Mint,World Builder,P1,"short teleport whoosh, airy with a soft harmonic tail, not aggressive, one-shot","Played by AudioManagerSystem (TECH_SPEC D). mp3, loops <=1.5MB, SFX <=60KB.",,REVIEW,Mint audio is FINAL-ONLY and slow — start generations first thing.
T073,5-Code,ALL,?debug FPS/draw-call overlay,code (0.5h),—,XR Engineer,P0,TECH_SPEC H — build FIRST so every feature lands against measured numbers.,,,DONE,Done overnight; smoke-tested headless.
T074,5-Code,ALL,Backend companion mode: deploy to live system_prompt.txt (avatar-chat),code (0.5h),—,Jeff (owns backend),P0,"PREPARED on avatar-chat branch claude/webxr-companion-prompt: template section (surface-gated so jeffxr.com/chat is untouched), scene_context cap 200->600 in main.py, 2D marker strip in chat-block.html. Jeff on the Spark: merge branch, copy new section into gitignored system_prompt.txt (keep DYNAMICALLY ADDED KNOWLEDGE), restart jeff-avatar.service, curl test.",Enables chat-driven teleports.,,TODO,
T075,5-Code,ALL,Interactable framework (Interactive component + InteractionSystem),code (4h),—,XR Engineer,P0,"TECH_SPEC B — manifest-driven interaction:{click,gaze,wave,pickup}; prop-interaction window event; effects: glow/pulse/cycle-color/spin; gaze reuses gazeContext; wave = hand <0.4m + >0.6m/s; hover fallback 10Hz.",Foundation for everything below.,,DONE,Done overnight (src/interactions.ts); wave path needs a real-headset check.
T076,5-Code,ALL,FadeSystem (DOM + XR camera-quad),code (1h),—,XR Engineer,P0,TECH_SPEC C.0 — fade-request/fade-complete events; also polishes every portal jump.,,,DONE,Done overnight (src/fade.ts); every teleport now fades. XR quad path needs a headset check.
T077,5-Code,S3,Vive wearable-teleport (WearableSystem),code (1.5h),—,XR Engineer,P0,TECH_SPEC C.1 — click or VR bring-to-face (0.35m/300ms) -> fade -> teleport S4; cooldown-guarded.,,Interactable framework,TODO,
T078,5-Code,S5,Even Realities HUD (HudSystem),code (2h),—,XR Engineer,P0,TECH_SPEC C.2 — CSS overlay desktop / head-locked 1024x512 CanvasTexture quad XR; green phosphor SIGGRAPH schedule content; toggle off via re-click/Esc/G.,HUD content table incl. 'JB Proxie: veel succes.' notification (pending Jeff),Interactable framework,TODO,
T079,5-Code,ALL,AudioManagerSystem,code (3h),—,XR Engineer,P1,"TECH_SPEC D — A/B ambient crossfade, positional SFX pool(6), autoplay-safe unlock, ducking -6dB on Proxie speech, manifest ambient + sfxLibrary.",Placeholder loops OK until Mint lands.,,DONE,Done overnight (src/audio.ts); SFX currently 2D — positional attach is a follow-up once real assets land.
T080,5-Code,ALL,proxie-chat.js speaking-state events,code (0.5h),—,XR Engineer,P0,TECH_SPEC E.0 — proxie-speaking-started/ended + proxie-stream-started/ended (double-key for Quest TTS risk).,Gates companion talk anim + audio ducking.,,DONE,Done overnight.
T081,5-Code,ALL,Companion state machine + billboard adapter,code (2.5h),—,XR Engineer,P0,TECH_SPEC E — hidden/idle/relocate/summoned/talking; anchors 2.5-3m at 30-45 deg off-center; never <1.5m; sidestep if center-view >1.5s; approach only when addressed or 2s interactive-dwell; billboard sprite of existing 2D art.,Not-annoying rules are in the numbers.,,DONE,"Done overnight (src/companion.ts); billboard live, rigged adapter pending avatar asset."
T082,5-Code,ALL,Companion rigged-GLB adapter,code (4h),—,XR Engineer,P2,"TECH_SPEC E — AnimationMixer idle/walk/talk, 200ms crossfades, <=25k tris; auto-fallback to billboard on FPS regression.",Only if avatar asset lands clean.,,TODO,
T083,5-Code,S5,ProjectorGridSystem (shader + levers),code (3h),—,XR Engineer,P1,"TECH_SPEC F — texture-sum fragment shader (baked bit-plane mask, Plan A) with procedural-noise fallback (Plan B) behind the same uEnabled contract, 5 brightness steps, beam cones, 4 manifest levers; ~11 draw calls, zero lights.",Click on resolved screen opens youtu.be/sEDTmvGg-QY via the standard interaction.click handler.,Interactable framework,TODO,
T084,5-Code,S5,bake-projector-image.mjs script,code (1h),—,Blocked on source image file,P1,"TECH_SPEC F — Node script: crop/letterbox source image, downsample to 32x24 cells, quantize to 5 luminance levels, randomly assign N-of-4 projector bits per cell (seeded), pack into one RGBA8 PNG.","One-time offline bake, not a runtime system.",Interactable framework,TODO,
T085,5-Code,S2,MiniGameSystem RT core (flat-disc MVP),code (5h),—,XR Engineer,P0,"TECH_SPEC G — 512px RGBA8 RT at 30Hz, hard pause conditions, xr.enabled save/restore, engage mode suppressing WASD, gaze-UV steering (left/right thirds -> camera CCW/CW), squeeze/pinch/W walk.",HOUR-5 CHECKPOINT: playable on flat green disc = feature ships.,Interactable framework,TODO,
T086,5-Code,S2,Mini-game island + character polish,code (3-4h),—,XR Engineer,P2,"TECH_SPEC G — island GLB <=20k tris + rigged walker <=10k tris (Tripo P-series 'game ready'), heightfield walk, palm sway optional.",Assets parallel-track.,Interactable framework,TODO,
